musicbrainz_id,case_artist,mb_artist,case_title,mb_title,case_role,case_status,case_id,correct_match
8519fb07-36f8-48a8-909d-0a19e1258130,Snowblind,Snowblind,Rockstar,Lost in Dreams,complainer,,347,0
7b4a20cb-3aa6-47bb-bbe0-e9f1341ddec3,Nickelback,Nickelback,Rockstar,Rockstar,defendant,,347,1
a51fd90b-f80d-4a14-bd81-3ec61642a6bd,Greg Perry,Greg Perry,Come On Down,Come on Down,complainer,,346,1
7ef44b5d-86a7-4d3f-b91e-c83479dc517c,Roddy Ricch,Roddy Ricch,The Box,The Box,defendant,,346,1
0d11433a-6d42-410e-a913-622652a6b678,Duvall Chamberlain,Chamberlain,In That Mood,That Was the Best,complainer,,345,0
c4037fea-5682-4a37-a56d-7e598221160a,Isis Naija Gaston a/k/a Ice Spice,Ice Spice,In Ha Mood,In Ha Mood,defendant,,345,1
de4785b6-85bd-4e9b-a8c2-59fc8611c9f8,"Concord Music, Universal Music Group and ABKCO Music",Kichwa's Native Music,,Qapaq Ñan,complainer,,344,0
645ee6d1-befa-4382-8715-1682f1b3766e,Anthropic PBC,PBC,,Macro-Mutos,defendant,,344,0
cb087dcf-d088-44e7-be10-ef35582802d7,Obrafour,Larry Achiampong,Oye Ohene,OHENE,complainer,,343,0
6215f3e0-2003-4852-9512-483d2560ee3e,Drake,Drake,Calling My Name,Calling My Name,defendant,,343,1
bfb4f673-c2f6-4a7f-bcee-28544cdb4f23,"Patrick Simmons p/k/a ""Havyn""",Patrick Cowley,Somebody Tonight,Somebody To Love Tonight,complainer,,342,0
cf914f88-ac11-4202-9c38-a65053110177,"Zayn Malik p/k/a ""Zayn""",ZAYN,Better,Better,defendant,,342,1
b778eec5-8269-4542-8a92-628ec7e9f250,"Andy Stone, AKA Vinnie Vance",Doug Stone,All I Want for Christmas is You,All I Want For Christmas Is You,complainer,,341,0
a6fab057-cf3a-4456-950e-d3edaf219326,Mariah Carey,Mariah Carey,All I Want for Christmas is You,All I Want for Christmas Is You,defendant,,341,1
9f5e394c-3d65-434c-b356-e31a0f138c9d,Rick Astley,Walt Ribeiro,Never Gonna Give You Up,Rick Astley 'Never Gonna Give You Up',complainer,,340,0
a6b174f1-20f3-449d-b973-716ac4f66bc5,Yung Gravy,Yung Gravy,Betty (Get Money),Betty (Get Money),defendant,,340,1
07a4a98a-b6b2-4dab-967d-3469e5d46ec1,Sofi Tukker,"Sofi Tukker ft. NERVO, The Knocks & Alisa Ueno",Best Friend,Best Friend (Sofi Tukker Carnival remix),complainer,,339,0
c1c9571a-39f1-4c11-92e2-21439399f44b,Evenflo,Warne Marsh,Ad Background Music,Background Music,defendant,,339,
52a908d9-cc78-48e8-bedd-28dbd435e709,"Jordan Vincent, Christopher Miranda",Clear Static,Dancing with Strangers,Dancing With Strangers,complainer,,338,
aa243e48-c9f6-4753-8b42-b2342bb8988b,"Sam Smith, Normani",Sam Smith & Normani,Dancing with a Stranger,Dancing With a Stranger,defendant,,338,
8c76570b-e5a4-4082-82e0-f7e36735a0bb,Daniel Grigson,Daniel Isen,That Girl,That Girl,complainer,,337,
15cc1beb-4c35-4c4b-85ef-3df5410d4e37,Kristen Anderson Lopez,Kristen Anderson‐Lopez & Robert Lopez,Some Things Never Change,Some Things Never Change,defendant,,337,
2179f64c-38ed-4bd8-9e59-97c3fd5a9229,Yolanda Patrick,Yolanda Kondonassis,I Do What I Want,Do You Hear What I Hear,complainer,,336,
9f9f6ffe-2034-4544-bc9d-7639837f259d,April Louise Poree,Trankil Trankil,,NAN NAN NAN NAN NAN NAN (INTERLUDE),defendant,,336,
aa2ea79a-fe14-469b-9462-2a5d52e4d68c,Bishop David Paul Moten,Prince Paul,Unspecified Sermon,Sermon,complainer,,335,
a1b15e3e-b48c-4300-a663-19ce8cc777f0,Kanye West,Kanye West,Come to Life,Come to Life,defendant,,335,
2272246f-213d-4850-b62c-edb56c4bd432,"Lawrence Parker, Scott Sterling",Scott La Rock & KRS‐One,South Bronx,South Bronx,complainer,,334,
6462983d-d6e2-4dae-a89b-2f3f327c1110,Kanye West,Kanye West,Life of the Party,Life of The Party,defendant,,334,
6d964e47-d625-4600-aa68-b43d7c7f7a05,"Russell Brown, Sandy Linzer",Cory Daye,Wiggle and Giggle All Night,Wiggle and Giggle All Night,complainer,,333,
7d5ffcfb-cac2-4b44-92de-8571e6987bc3,Dua Lipa,Dua Lipa,Levitating,Levitating,defendant,,333,
6955b9da-3964-4d5e-a138-89cf6866055e,"Darwin Quinn, Mitchelle'l Sium,",Fedde Le Grand,Back N Forth,Back N' Forth,complainer,,332,
2bee176a-d7f7-4cb4-92f9-92e739eb6394,"Roland Powell p/k/a Lil' Duvall, Rich Broke Entertainment, LLC",Lil B,Living My Best Life,Living My Life,defendant,,332,
25c761ea-836e-4bdc-aa1c-903ee8a7dd35,Artikel Sound,Jason Bajada,Live Your Life,The Sound Your Life Makes,complainer,,331,
b185085c-e7e1-45e0-b347-b82ebaaae992,Dua Lipa,Dua Lipa,Levitating,Levitating,defendant,,331,
ee693db7-4e2e-4ec7-be35-f35d66b52264,G-Money,A. G. Cook,Shawty So Cold,So Cold,complainer,,330,
dd6cc9b3-ece9-499c-b6ab-2074566dca3c,J. Cole; Bryson Tiller,Bryson Tiller,Deja Vu; Exchange,Exchange,defendant,,330,
932ae478-4ec9-42e9-bd61-bd2105e63166,Marshall Jefferson,Marshall Jefferson,Move Your Body,Move Your Body,complainer,,329,
98fd291d-b518-4069-81f5-ce818f28eada,Kanye West,Kanye West,Flowers,Flowers,defendant,,329,
9913313f-c401-4e61-9dcc-e878a2b8af19,"AOM Music, Inc.",Fuerza Bruta,Playero Works,Playero,complainer,,328,
99dd231e-6890-44b3-b3b9-13d4a2d35e99,Benito Antonio Martínez Ocasio p/k/a Bad Bunny,"Bad Bunny, Jowell & Randy & Ñengo Flow",Safaera,Safaera,defendant,,328,
d4ace1ba-b12f-4b70-8693-4a8ea78b9cf4,Cleveland Browne & Wycliffe Johnson,Steely & Clevie,Fish Market,Fish Market,complainer,,327,
ee5d41ce-93a7-456f-b33a-23cdd40a64ad,Luis Fonsi,Luis Fonsi,Despacito,Despacito,defendant,,327,
643691d0-9ea7-4136-a9b5-10bf77efb4f4,Jóhann Helgason,Jóhann Helgason,Söknuður,Söknuður,complainer,,326,
211ac6a7-e851-4667-b349-1d7a7c1016e6,Rolf Løvland,Rolf Løvland & John Lenehan,You Raised Me Up,You Raise Me Up,defendant,,326,
dda414b3-81c3-44c7-bea8-2eaa44d1dbcb,Gutta,kixnna,When U Think About It,when i think about u,complainer,,325,
7141cb40-c08c-4293-8ce4-52cb9e37f72c,Future,Future,When I Think About It,WHEN I THINK ABOUT IT,defendant,,325,
9bba37b3-d10c-4d87-8bf7-f4c324ba8bfd,Cameron Cates,Cameron Hansen & Bethany Hansen,She Loves Her Job,She Loves Me (She Loves Me),complainer,,324,
8f0e90f4-5cac-491a-8bb0-04b6ec96efd0,"Shlemovitz, et al.",Jack Ü feat. 2 Chainz,FeBreze Tagline,Febreze,defendant,,324,
20ae2657-dee9-46cf-af69-0d1eb8b34afa,Mr. Cooper,Nathan Halpern,I Love Your Dress,I Love Your Dress,complainer,,323,
73fa99d7-300f-4779-9156-c683f7df82d1,Chris Brown & Drake,Chris Brown & Drake,No Guidance,No Guidance,defendant,,323,
0424c896-91aa-41f4-89a9-ffc1d46a9923,Emelike Nwosuocha,Market Price,Made in America,Made in America,complainer,,322,
b664676b-aedd-4f1a-8a8b-564903e93b9f,Donald Glover,Donald Glover,This Is America,This Is Gonna Be Gross,defendant,,322,
61b3d5fa-19e0-4e4f-9610-df87438b3fd5,Barbara Norwood,Barbara Manning,Martian,Martian Man,complainer,,321,
4eae8920-01e6-471f-84ea-bc832d6143f7,Offset,Offset feat. J. Cole,How Did I Get Here ft. J. Cole,How Did I Get Here,defendant,,321,
5f0ff901-922e-44ce-832e-7d126eaa9f14,Marvin Gaye,Marvin Gaye,Let's Get It On,Let’s Get It On,complainer,,320,
226dad1c-24f5-4166-8e36-9b8321e204f2,Ed Sheeran,Ed Sheeran,Thinking Out Loud,Thinking Out Loud,defendant,,320,
b68b5c7e-acf6-4321-84d6-cc05d245f660,Sam Chokri,Bomb the Music Industry!,Oh Why,"Why, Oh Why, Oh Why (Oh Oh Oh Oh)",complainer,,319,
c664a576-f0e5-4725-8d52-05ecfe4822d8,Ed Sheeran,Ed Sheeran,Shape of You,Shape of You,defendant,,319,
e4e2f5c6-8491-4b0c-94ba-342e5cd2ef0c,Josh Stone,Stevie Stone feat. Krizz Kaliko,"You Need It, I Got It",I Got It,complainer,,318,
83aeafac-4d6e-486d-8cd8-d1ec531827b2,Ariana Grande,Ariana Grande,7 Rings,7 rings,defendant,,318,
9f9f6ffe-2034-4544-bc9d-7639837f259d,Terrance Hayes,Trankil Trankil,,NAN NAN NAN NAN NAN NAN (INTERLUDE),complainer,,317,
523c7a2f-130d-4e1a-b7d9-bf1bb082484b,Kendrick Lamar,Kendrick Lamar feat. Rihanna,Loyalty,LOYALTY.,defendant,,317,
e21a668e-e366-49c3-9957-2bde61fe5f8c,"Curtis James Jackson (""50 Cent"")",50 Cent,In Da Club,In da Club,complainer,,316,
